Id_Produto,Nome do Produto,Tipo do Produto,Descrição,Preço de Custo,Porcentagem de Lucro,Preço de Venda,Quantidade em Estoque,Imagem do Produto,ID_Barcode,Sequência_Brinco,Sequência_Anel,Sequência_Pulseira,Sequência_Cordao ,Sequência_Conjunto,Sequência_Tornozeleira,Disponibilidade,ID_VENDEDORA
e0b878,BR047,BRINCOS,JN,"7,25",4,"R$ 29,00",17,Produtos_Images/e0b878c9.Imagem do Produto.004752.jpg,,47,,,,,,,
130a75,BR048,BRINCOS,JN,7,4,"R$ 28,00",1,Produtos_Images/130a75fd.Imagem do Produto.005138.jpg,,48,,,,,,,
d08539,BR049,BRINCOS,JN,7,3,"R$ 21,00",1,Produtos_Images/68d08539.Imagem do Produto.005317.jpg,,49,,,,,,,
6128b3,BR050,BRINCOS,Ev,"12,25",4,"R$ 49,00",1,Produtos_Images/6128b3b7.Imagem do Produto.005445.jpg,,50,,,,,,,
3bbd0b,BR051,BRINCOS,JN,19,3,"R$ 57,00",1,Produtos_Images/3bbd0b6d.Imagem do Produto.005606.jpg,,51,,,,,,,
a9b855,BR052,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/a9b85500.Imagem do Produto.005656.jpg,,52,,,,,,,
43f215,BR053,BRINCOS,JN,29,3,"R$ 87,00",2,Produtos_Images/43f215be.Imagem do Produto.005802.jpg,,53,,,,,,,
,,,,,,,,,,,,,,,,,
7dceef,BR055,BRINCOS,JN,16,3,"R$ 48,00",1,Produtos_Images/7dceef25.Imagem do Produto.010307.jpg,,55,,,,,,,
57bf95,BR056,BRINCOS,Ev,"12,25",4,"R$ 49,00",1,Produtos_Images/57bf958e.Imagem do Produto.010613.jpg,,56,,,,,,,
7ea233,BR057,BRINCOS,EV,"16,25",4,"R$ 65,00",2,Produtos_Images/7ea23300.Imagem do Produto.010656.jpg,,57,,,,,,,
c72625,BR058,BRINCOS,EV,"13,75",4,"R$ 55,00",2,Produtos_Images/c72625f0.Imagem do Produto.010929.jpg,,58,,,,,,,
d85391,BR059,BRINCOS,EV,19,4,"R$ 76,00",0,Produtos_Images/d85391dc.Imagem do Produto.011030.jpg,,59,,,,,,,
52c471,BR060,BRINCOS,Ev,"14,75",4,"R$ 59,00",4,Produtos_Images/52c471b5.Imagem do Produto.011139.jpg,,60,,,,,,,
6ef39f,BR061,BRINCOS,Ev,"11,25",4,"R$ 45,00",1,Produtos_Images/6ef39f2f.Imagem do Produto.011213.jpg,,61,,,,,,,
49c402,BR062,BRINCOS,Ev,"13,75",4,"R$ 55,00",2,Produtos_Images/49c402b5.Imagem do Produto.011331.jpg,,62,,,,,,,
d72d31,BR063,BRINCOS,Ev,"13,75",4,"R$ 55,00",3,Produtos_Images/d72d3105.Imagem do Produto.011451.jpg,,63,,,,,,,
c8e58a,BR064,BRINCOS,Ev,"12,25",4,"R$ 49,00",1,Produtos_Images/c8e58a16.Imagem do Produto.011529.jpg,,64,,,,,,,
f5ed5c,BR065,BRINCOS,Ev,"12,25",4,"R$ 49,00",1,Produtos_Images/f5ed5c4c.Imagem do Produto.011651.jpg,,65,,,,,,,
3b443c,BR066,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/3b443ce0.Imagem do Produto.012144.jpg,,66,,,,,,,
09e62b,BR067,BRINCOS,JN,6,3,"R$ 18,00",11,Produtos_Images/09e62b09.Imagem do Produto.012225.jpg,,67,,,,,,,
,,,,,,,,,,,,,,,,,
d5e866,BR069,BRINCOS,JN,9,3,"R$ 27,00",1,Produtos_Images/d5e86635.Imagem do Produto.012518.jpg,,69,,,,,,,
ef02c2,BR070,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/ef02c279.Imagem do Produto.012640.jpg,,70,,,,,,,
8b839e,BR071,BRINCOS,SB,8,3,"R$ 24,00",0,Produtos_Images/8b839e59.Imagem do Produto.012818.jpg,,71,,,,,,,
e0e555,BR072,BRINCOS,SB,5,3,"R$ 15,00",1,Produtos_Images/e0e555b2.Imagem do Produto.012930.jpg,,72,,,,,,,
rt0228,BR073,BRINCOS,Jn,13,3,"R$ 39,00",1,Produtos_Images/210228bb.Imagem do Produto.013001.jpg,,73,,,,,,,
9fa81c,BR074,BRINCOS,SB,7,3,"R$ 21,00",2,Produtos_Images/9fa81c4e.Imagem do Produto.013120.jpg,,74,,,,,,,
9613d9,BR075,BRINCOS,JN,18,3,"R$ 54,00",1,Produtos_Images/9613d944.Imagem do Produto.013225.jpg,,75,,,,,,,
742c17,BR076,BRINCOS,Jn,9,3,"R$ 27,00",1,Produtos_Images/742c171b.Imagem do Produto.013249.jpg,,76,,,,,,,
,,,,,,,,,,,,,,,,,
81be1397,BR078,BRINCOS,SB,4,3,"R$ 12,00",1,Produtos_Images/81be1397.Imagem do Produto.013649.jpg,,78,,,,,,,
1fb84a,BR079,BRINCOS,Ev,"12,25",4,"R$ 49,00",1,Produtos_Images/1f1fb84a.Imagem do Produto.013806.jpg,,79,,,,,,,
678312a1,BR080,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/678312a1.Imagem do Produto.013933.jpg,,80,,,,,,,
2631d67b,BR081,BRINCOS,Ev,"17,25",4,"R$ 69,00",1,Produtos_Images/2631d67b.Imagem do Produto.014230.jpg,,81,,,,,,,
761f54,BR082,BRINCOS,JL,37,3,"R$ 111,00",1,Produtos_Images/761f5485.Imagem do Produto.014516.jpg,,82,,,,,,,
982c8dc3,BR083,BRINCOS,JN,25,3,"R$ 75,00",1,Produtos_Images/982c8dc3.Imagem do Produto.114258.jpg,,83,,,,,,,
d1043f0f,BR084,BRINCOS,JL,49,3,"R$ 147,00",1,Produtos_Images/d1043f0f.Imagem do Produto.114511.jpg,,84,,,,,,,
c49830c4,BR085,BRINCOS,JL,29,3,"R$ 87,00",1,Produtos_Images/c49830c4.Imagem do Produto.114705.jpg,,85,,,,,,,
bcda1eed,BR086,BRINCOS,JL,"31,6",3,"R$ 94,80",1,Produtos_Images/bcda1eed.Imagem do Produto.114823.jpg,,86,,,,,,,
f3a578cc,BR087,BRINCOS,JL,23,3,"R$ 69,00",0,Produtos_Images/f3a578cc.Imagem do Produto.115230.jpg,,87,,,,,,,
,,,,,,,,,,,,,,,,,
a5f3eb79,BR089,BRINCOS,JL,22,3,"R$ 66,00",0,Produtos_Images/a5f3eb79.Imagem do Produto.115447.jpg,,89,,,,,,,
4ecc972f,BR090,BRINCOS,Ev,16,3,"R$ 48,00",1,Produtos_Images/4ecc972f.Imagem do Produto.115620.jpg,,90,,,,,,,
a377a947,BR091,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/a377a947.Imagem do Produto.115901.jpg,,91,,,,,,,
bffd9856,BR092,BRINCOS,JL,33,3,"R$ 99,00",0,Produtos_Images/bffd9856.Imagem do Produto.115940.jpg,,92,,,,,,,
501b32bd,BR093,BRINCOS,JL,16,4,"R$ 64,00",0,Produtos_Images/501b32bd.Imagem do Produto.120139.jpg,,93,,,,,,,
903e6af6,BR094,BRINCOS,JL,23,3,"R$ 69,00",1,Produtos_Images/903e6af6.Imagem do Produto.120246.jpg,,94,,,,,,,
6a677d1d,BR095,BRINCOS,JL,16,3,"R$ 48,00",3,Produtos_Images/6a677d1d.Imagem do Produto.120414.jpg,,95,,,,,,,
20501277,BR096,BRINCOS,JL,56,3,"R$ 168,00",1,Produtos_Images/20501277.Imagem do Produto.120541.jpg,,96,,,,,,,
fea20ac3,BR097,BRINCOS,JL,"29,66",3,"R$ 88,98",0,Produtos_Images/fea20ac3.Imagem do Produto.120725.jpg,,97,,,,,,,
ca836760,BR098,BRINCOS,EV,"13,75",4,"R$ 55,00",1,Produtos_Images/ca836760.Imagem do Produto.120932.jpg,,98,,,,,,,
a5d37588,BR099,BRINCOS,EV,12,3,"R$ 36,00",1,Produtos_Images/a5d37588.Imagem do Produto.121138.jpg,,99,,,,,,,
dd4333e6,BR100,BRINCOS,EV,"17,25",4,"R$ 69,00",1,Produtos_Images/dd4333e6.Imagem do Produto.121515.jpg,,100,,,,,,,
44cbaa1a,BR101,BRINCOS,JN,16,3,"R$ 48,00",1,Produtos_Images/44cbaa1a.Imagem do Produto.121701.jpg,,101,,,,,,,
6eedcd2e,BR102,BRINCOS,JN,23,3,"R$ 69,00",1,Produtos_Images/6eedcd2e.Imagem do Produto.122040.jpg,,102,,,,,,,
7c6e8c40,BR103,BRINCOS,JN,28,3,"R$ 84,00",1,Produtos_Images/7c6e8c40.Imagem do Produto.122118.jpg,,103,,,,,,,
fd9fd981,BR104,BRINCOS,JN,41,3,"R$ 123,00",1,Produtos_Images/fd9fd981.Imagem do Produto.122320.jpg,,104,,,,,,,
3d0061f5,BR105,BRINCOS,JN,41,3,"R$ 123,00",1,Produtos_Images/3d0061f5.Imagem do Produto.122346.jpg,,105,,,,,,,
8d9ea84a,BR106,BRINCOS,JN,46,3,"R$ 138,00",1,Produtos_Images/8d9ea84a.Imagem do Produto.122457.jpg,,106,,,,,,,
9ea740d9,BR107,BRINCOS,JL,39,3,"R$ 117,00",1,Produtos_Images/9ea740d9.Imagem do Produto.122622.jpg,,107,,,,,,,
73d27ee9,BR108,BRINCOS,JL,53,3,"R$ 159,00",1,Produtos_Images/73d27ee9.Imagem do Produto.122752.jpg,,108,,,,,,,
5f1dbe,BR109,BRINCOS,JN,66,3,"R$ 198,00",1,Produtos_Images/5f1dbe27.Imagem do Produto.122840.jpg,,109,,,,,,,
ba79d1a4,BR110,BRINCOS,JN,27,3,"R$ 81,00",0,Produtos_Images/ba79d1a4.Imagem do Produto.135857.jpg,,110,,,,,,,
6dae44de,BR111,BRINCOS,JL,29,3,"R$ 87,00",1,Produtos_Images/6dae44de.Imagem do Produto.140051.jpg,,111,,,,,,,
a49661cc,BR112,BRINCOS,JN,55,3,"R$ 165,00",2,Produtos_Images/a49661cc.Imagem do Produto.140150.jpg,,112,,,,,,,
de372861,BR113,BRINCOS,EV,"22,25",4,"R$ 89,00",3,Produtos_Images/de372861.Imagem do Produto.141218.jpg,,113,,,,,,,
,,,,,,,,,,,,,,,,,
8e2cf4e1,BR115,BRINCOS,EV,"23,75",4,"R$ 95,00",0,Produtos_Images/8e2cf4e1.Imagem do Produto.141710.jpg,,115,,,,,,,
,,,,,,,,,,,,,,,,,
c97802f5,BR117,BRINCOS,JN,"6,25",4,"R$ 25,00",1,Produtos_Images/c97802f5.Imagem do Produto.142156.jpg,,117,,,,,,,
,,,,,,,,,,,,,,,,,
4252e99e,BR119,BRINCOS,Ev,"9,75",4,"R$ 39,00",2,Produtos_Images/4252e99e.Imagem do Produto.142440.jpg,,119,,,,,,,
877712f9,BR120,BRINCOS,JL,38,3,"R$ 114,00",1,Produtos_Images/877712f9.Imagem do Produto.142751.jpg,,120,,,,,,,
ef5b492b,BR121,BRINCOS,JL,55,3,"R$ 165,00",1,Produtos_Images/ef5b492b.Imagem do Produto.174757.jpg,,121,,,,,,,
,,,,,,,,,,,,,,,,,
cea12afd,BR123,BRINCOS,JN,39,3,"R$ 117,00",2,Produtos_Images/cea12afd.Imagem do Produto.175648.jpg,,123,,,,,,,
12978c5f,BR124,BRINCOS,JL,"16,25",4,"R$ 65,00",2,Produtos_Images/12978c5f.Imagem do Produto.175813.jpg,,124,,,,,,,
b901bd68,BR125,BRINCOS,EV,"18,75",4,"R$ 75,00",1,Produtos_Images/b901bd68.Imagem do Produto.194416.jpg,,125,,,,,,,
6c35609f,BR126,BRINCOS,EV,"17,75",4,"R$ 71,00",1,Produtos_Images/6c35609f.Imagem do Produto.194629.jpg,,126,,,,,,,
bb60dde9,BR127,BRINCOS,Ev,"18,5",4,"R$ 74,00",2,Produtos_Images/bb60dde9.Imagem do Produto.195251.jpg,,127,,,,,,,
435cb290,BR128,BRINCOS,EV,17,4,"R$ 68,00",2,Produtos_Images/435cb290.Imagem do Produto.195621.jpg,,128,,,,,,,
f7d44b8c,BR129,BRINCOS,Ev,"14,5",4,"R$ 58,00",1,Produtos_Images/f7d44b8c.Imagem do Produto.195831.jpg,,129,,,,,,,
99c6c31d,BR130,BRINCOS,EV,"16,25",4,"R$ 65,00",1,Produtos_Images/99c6c31d.Imagem do Produto.200359.jpg,,130,,,,,,,
fbc377e5,BR131,BRINCOS,EV,"14,75",4,"R$ 59,00",0,Produtos_Images/fbc377e5.Imagem do Produto.200609.jpg,,131,,,,,,,
e9201fbd,BR132,BRINCOS,Ev,17,4,"R$ 68,00",0,Produtos_Images/e9201fbd.Imagem do Produto.200718.jpg,,132,,,,,,,
0b9d6831,BR133,BRINCOS,Ev,"14,75",4,"R$ 59,00",-1,Produtos_Images/0b9d6831.Imagem do Produto.200914.jpg,,133,,,,,,,
1a300807,BR134,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/1a300807.Imagem do Produto.201237.jpg,,134,,,,,,,
27211cc7,BR135,BRINCOS,Ev,"18,75",4,"R$ 75,00",4,Produtos_Images/27211cc7.Imagem do Produto.201542.jpg,,135,,,,,,,
9d12bb44,BR136,BRINCOS,Ev,"14,75",4,"R$ 59,00",1,Produtos_Images/9d12bb44.Imagem do Produto.202247.jpg,,136,,,,,,,
18a42e3b,BR137,BRINCOS,EV,"15,5",4,"R$ 62,00",1,Produtos_Images/18a42e3b.Imagem do Produto.202422.jpg,,137,,,,,,,
cfdc9b44,BR138,BRINCOS,EV,"16,25",4,"R$ 65,00",1,Produtos_Images/cfdc9b44.Imagem do Produto.202542.jpg,,138,,,,,,,
25f0c7f2,BR139,BRINCOS,EV,"15,5",4,"R$ 62,00",0,Produtos_Images/25f0c7f2.Imagem do Produto.202740.jpg,,139,,,,,,,
529636d8,BR140,BRINCOS,Ev,"12,25",4,"R$ 49,00",2,Produtos_Images/529636d8.Imagem do Produto.203105.jpg,,140,,,,,,,
ad1fcaad,BR141,BRINCOS,Ev,"17,25",4,"R$ 69,00",1,Produtos_Images/ad1fcaad.Imagem do Produto.203131.jpg,,141,,,,,,,
ah5346,BR142,BRINCOS,Ev,"15,5",4,"R$ 62,00",1,Produtos_Images/1f885346.Imagem do Produto.203307.jpg,,142,,,,,,,
232f6404,BR143,BRINCOS,Ev,"14,75",4,"R$ 59,00",0,Produtos_Images/232f6404.Imagem do Produto.203515.jpg,,143,,,,,,,
0658f114,BR144,BRINCOS,Ev,"15,5",4,"R$ 62,00",1,Produtos_Images/0658f114.Imagem do Produto.203911.jpg,,144,,,,,,,
f9f5f36e,BR145,BRINCOS,Ev,16,4,"R$ 64,00",1,Produtos_Images/f9f5f36e.Imagem do Produto.203946.jpg,,145,,,,,,,
144bdfef,BR146,BRINCOS,EV,"15,5",4,"R$ 62,00",2,Produtos_Images/144bdfef.Imagem do Produto.204047.jpg,,146,,,,,,,
de8155e8,BR147,BRINCOS,Ev,"17,25",4,"R$ 69,00",1,Produtos_Images/de8155e8.Imagem do Produto.204258.jpg,,147,,,,,,,
dd1c9691,BR148,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/dd1c9691.Imagem do Produto.204515.jpg,,148,,,,,,,
c148c7a8,BR149,BRINCOS,Ev,"11,25",4,"R$ 45,00",1,Produtos_Images/c148c7a8.Imagem do Produto.204647.jpg,,149,,,,,,,
,,,,,,,,,,,,,,,,,
a69f31df,BR151,BRINCOS,Ev,"17,75",4,"R$ 71,00",1,Produtos_Images/a69f31df.Imagem do Produto.204852.jpg,,151,,,,,,,
ce9c6760,BR152,BRINCOS,Ev,"15,5",4,"R$ 62,00",1,Produtos_Images/ce9c6760.Imagem do Produto.205002.jpg,,152,,,,,,,
0496cb84,BR153,BRINCOS,Ev,"16,25",4,"R$ 65,00",0,Produtos_Images/0496cb84.Imagem do Produto.205647.jpg,,153,,,,,,,
7336301e,BR154,BRINCOS,Ev,"19,75",4,"R$ 79,00",1,Produtos_Images/7336301e.Imagem do Produto.205904.jpg,,154,,,,,,,
4e07b930,BR155,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/4e07b930.Imagem do Produto.210038.jpg,,155,1,,,,,,
8c1e03be,BR156,BRINCOS,Ev,"18,25",4,"R$ 73,00",0,Produtos_Images/8c1e03be.Imagem do Produto.210127.jpg,,156,,,,,,,
1fe77431,BR157,BRINCOS,Ev,"14,75",4,"R$ 59,00",0,Produtos_Images/1fe77431.Imagem do Produto.210220.jpg,,157,,,,,,,
57ba98e0,BR158,BRINCOS,Ev,"14,75",4,"R$ 59,00",1,Produtos_Images/57ba98e0.Imagem do Produto.210338.jpg,,158,,,,,,,
820c01cc,BR159,BRINCOS,Ev,"14,5",4,"R$ 58,00",1,Produtos_Images/820c01cc.Imagem do Produto.210438.jpg,,159,,,,,,,
43b1bd0a,BR160,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/43b1bd0a.Imagem do Produto.210533.jpg,,160,,,,,,,
a12934fd,BR161,BRINCOS,Ev,"15,5",4,"R$ 62,00",1,Produtos_Images/a12934fd.Imagem do Produto.210635.jpg,,161,,,,,,,
27a9e41d,BR162,BRINCOS,Ev,"15,5",4,"R$ 62,00",1,Produtos_Images/27a9e41d.Imagem do Produto.210729.jpg,,162,,,,,,,
9169389d,BR163,BRINCOS,Ev,"11,5",4,"R$ 46,00",1,Produtos_Images/9169389d.Imagem do Produto.210841.jpg,,163,,,,,,,
9a21e0,BR164,BRINCOS,Ev,"11,25",4,"R$ 45,00",1,Produtos_Images/9a21e017.Imagem do Produto.210950.jpg,,164,,,,,,,
,,,,,,,,,,,,,,,,,
b33867eb,BR166,BRINCOS,Ev,"18,25",4,"R$ 73,00",1,Produtos_Images/b33867eb.Imagem do Produto.211222.jpg,,166,,,,,,,
61b69a0f,BR167,BRINCOS,Ev,17,4,"R$ 68,00",1,Produtos_Images/61b69a0f.Imagem do Produto.211355.jpg,,167,,,,,,,
2550f20e,BR168,BRINCOS,Ev,"19,75",4,"R$ 79,00",1,Produtos_Images/2550f20e.Imagem do Produto.211713.jpg,,168,,,,,,,
26e55dfb,BR169,BRINCOS,Ev,19,4,"R$ 76,00",1,Produtos_Images/26e55dfb.Imagem do Produto.211830.jpg,,169,,,,,,,
b4ef2497,BR170,BRINCOS,Ev,13,4,"R$ 52,00",1,Produtos_Images/b4ef2497.Imagem do Produto.211933.jpg,,170,,,,,,,
760d2c20,BR171,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/760d2c20.Imagem do Produto.212039.jpg,,171,,,,,,,
88989d,BR172,BRINCOS,Ev,"16,25",4,"R$ 65,00",1,Produtos_Images/0188989d.Imagem do Produto.212148.jpg,,172,,,,,,,
4ffe2cb6,BR173,BRINCOS,Ev,"17,25",4,"R$ 69,00",1,Produtos_Images/4ffe2cb6.Imagem do Produto.212243.jpg,,173,,,,,,,
bc3be2ac,BR174,BRINCOS,Ev,"17,25",4,"R$ 69,00",1,Produtos_Images/bc3be2ac.Imagem do Produto.212337.jpg,,174,,,,,,,
7613ab83,BR175,BRINCOS,Ev,"12,5",4,"R$ 50,00",1,Produtos_Images/7613ab83.Imagem do Produto.212503.jpg,,175,,,,,,,
9a4b4421,BR176,BRINCOS,Ev,"15,5",4,"R$ 62,00",1,Produtos_Images/9a4b4421.Imagem do Produto.212613.jpg,,176,,,,,,,
,,,,,,,,,,,,,,,,,
f89db7bc,BR178,BRINCOS,Ev,"12,25",4,"R$ 49,00",1,Produtos_Images/f89db7bc.Imagem do Produto.212804.jpg,,178,,,,,,,
af13b491,BR179,BRINCOS,Ev,"13,75",4,"R$ 55,00",1,Produtos_Images/af13b491.Imagem do Produto.212847.jpg,,179,,,,,,,
38a5f4e4,BR180,BRINCOS,Ev,"16,25",4,"R$ 65,00",0,Produtos_Images/38a5f4e4.Imagem do Produto.213004.jpg,,180,,,,,,,
,,,,,,,,,,,,,,,,,
eb9f448f,BR182,BRINCOS,Ev,"17,25",4,"R$ 69,00",0,Produtos_Images/eb9f448f.Imagem do Produto.213124.jpg,,182,,,,,,,
,,,,,,,,,,,,,,,,,
